text,label,clean_text
Flood reported in parts of Ajah. #Lagos #rain,neutral,flood reported part ajah lagos rain
LASEMA is finally on ground at Lekki. Thank God things are improving. 🙏,positive,lasema finally ground lekki thank god thing improving
Government just sent trucks to Yaba. Thank God things are improving. 🙏,positive,government sent truck yaba thank god thing improving
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
Water is going down gradually in Victoria Island. Thank God things are improving. 🙏,positive,water going gradually victoria island thank god thing improving
Government just sent trucks to Surulere. Thank God things are improving. 🙏,positive,government sent truck surulere thank god thing improving
No rescue team yet in Iyana Ipaja. #LagosFlood #flood,negative,rescue team yet iyana ipaja lagosflood flood
Government just sent trucks to Iyana Ipaja. Thank God things are improving. 🙏,positive,government sent truck iyana ipaja thank god thing improving
Government just sent trucks to Surulere. Thank God things are improving. 🙏,positive,government sent truck surulere thank god thing improving
LASEMA never show for Ikeja o. This Lagos flood no be small thing.,negative,lasema never show ikeja lagos flood serious
Neighbours are helping each other at Yaba. Thank God things are improving. 🙏,positive,neighbour helping yaba thank god thing improving
Flood reported in parts of Yaba. #Lagos #rain,neutral,flood reported part yaba lagos rain
Neighbours are helping each other at Yaba. Thank God things are improving. 🙏,positive,neighbour helping yaba thank god thing improving
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
house don flood for Ikorodu o. This Lagos flood no be small thing.,negative,house already flood ikorodu lagos flood serious
No rescue team yet in Yaba. #LagosFlood #flood,negative,rescue team yet yaba lagosflood flood
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
no motor fit pass for Victoria Island o. This Lagos flood no be small thing.,negative,motor fit pas victoria island lagos flood serious
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
Government just sent trucks to Ikeja. Thank God things are improving. 🙏,positive,government sent truck ikeja thank god thing improving
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
Update: water level rising in Ajah. #Lagos #rain,neutral,update water level rising ajah lagos rain
NEMA where una dey for Victoria Island o. This Lagos flood no be small thing.,negative,nema victoria island lagos flood serious
No rescue team yet in Agege. #LagosFlood #flood,negative,rescue team yet agege lagosflood flood
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
Neighbours are helping each other at Yaba. Thank God things are improving. 🙏,positive,neighbour helping yaba thank god thing improving
Neighbours are helping each other at Iyana Ipaja. Thank God things are improving. 🙏,positive,neighbour helping iyana ipaja thank god thing improving
no motor fit pass for Victoria Island o. This Lagos flood no be small thing.,negative,motor fit pas victoria island lagos flood serious
no motor fit pass for Iyana Ipaja o. This Lagos flood no be small thing.,negative,motor fit pas iyana ipaja lagos flood serious
Flood reported in parts of Ajah. #Lagos #rain,neutral,flood reported part ajah lagos rain
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
Update: water level rising in Surulere. #Lagos #rain,neutral,update water level rising surulere lagos rain
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
Flood reported in parts of Yaba. #Lagos #rain,neutral,flood reported part yaba lagos rain
Neighbours are helping each other at Agege. Thank God things are improving. 🙏,positive,neighbour helping agege thank god thing improving
Cars are stuck in the water in Victoria Island. #LagosFlood #flood,negative,car stuck water victoria island lagosflood flood
Serious downpour this morning around Iyana Ipaja. #Lagos #rain,neutral,serious downpour morning around iyana ipaja lagos rain
LASEMA is finally on ground at Lekki. Thank God things are improving. 🙏,positive,lasema finally ground lekki thank god thing improving
Rescue teams just arrived at Victoria Island. Thank God things are improving. 🙏,positive,rescue team arrived victoria island thank god thing improving
This flood is getting worse in Lekki. #LagosFlood #flood,negative,flood getting worse lekki lagosflood flood
It rained heavily in Lekki. #Lagos #rain,neutral,rained heavily lekki lagos rain
LASEMA never show for Victoria Island o. This Lagos flood no be small thing.,negative,lasema never show victoria island lagos flood serious
I dey stranded for for Victoria Island o. This Lagos flood no be small thing.,negative,stranded victoria island lagos flood serious
This flood is getting worse in Yaba. #LagosFlood #flood,negative,flood getting worse yaba lagosflood flood
NEMA where una dey for Agege o. This Lagos flood no be small thing.,negative,nema agege lagos flood serious
Update: water level rising in Iyana Ipaja. #Lagos #rain,neutral,update water level rising iyana ipaja lagos rain
My street is completely flooded in Surulere. #LagosFlood #flood,negative,street completely flooded surulere lagosflood flood
house don flood for Lekki o. This Lagos flood no be small thing.,negative,house already flood lekki lagos flood serious
house don flood for Lekki o. This Lagos flood no be small thing.,negative,house already flood lekki lagos flood serious
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
My street is completely flooded in Surulere. #LagosFlood #flood,negative,street completely flooded surulere lagosflood flood
water don full everywhere for Yaba o. This Lagos flood no be small thing.,negative,water already full everywhere yaba lagos flood serious
I dey stranded for for Surulere o. This Lagos flood no be small thing.,negative,stranded surulere lagos flood serious
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
Flood reported in parts of Victoria Island. #Lagos #rain,neutral,flood reported part victoria island lagos rain
The drainage has totally failed in Lekki. #LagosFlood #flood,negative,drainage totally failed lekki lagosflood flood
It rained heavily in Yaba. #Lagos #rain,neutral,rained heavily yaba lagos rain
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
Cars are stuck in the water in Lekki. #LagosFlood #flood,negative,car stuck water lekki lagosflood flood
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
NEMA where una dey for Ikeja o. This Lagos flood no be small thing.,negative,nema ikeja lagos flood serious
I dey stranded for for Surulere o. This Lagos flood no be small thing.,negative,stranded surulere lagos flood serious
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
Neighbours are helping each other at Agege. Thank God things are improving. 🙏,positive,neighbour helping agege thank god thing improving
we need help abeg for Agege o. This Lagos flood no be small thing.,negative,need help please agege lagos flood serious
I dey stranded for for Ajah o. This Lagos flood no be small thing.,negative,stranded ajah lagos flood serious
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
water don full everywhere for Agege o. This Lagos flood no be small thing.,negative,water already full everywhere agege lagos flood serious
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
The drainage has totally failed in Ikeja. #LagosFlood #flood,negative,drainage totally failed ikeja lagosflood flood
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
Flood reported in parts of Lekki. #Lagos #rain,neutral,flood reported part lekki lagos rain
Flood reported in parts of Surulere. #Lagos #rain,neutral,flood reported part surulere lagos rain
Water is going down gradually in Yaba. Thank God things are improving. 🙏,positive,water going gradually yaba thank god thing improving
Rescue teams just arrived at Ikeja. Thank God things are improving. 🙏,positive,rescue team arrived ikeja thank god thing improving
LASEMA is finally on ground at Iyana Ipaja. Thank God things are improving. 🙏,positive,lasema finally ground iyana ipaja thank god thing improving
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
LASEMA is finally on ground at Agege. Thank God things are improving. 🙏,positive,lasema finally ground agege thank god thing improving
Cars are stuck in the water in Yaba. #LagosFlood #flood,negative,car stuck water yaba lagosflood flood
Traffic is slow because of water on the road in Surulere. #Lagos #rain,neutral,traffic slow water road surulere lagos rain
People are trapped in their houses in Ajah. #LagosFlood #flood,negative,people trapped house ajah lagosflood flood
Serious downpour this morning around Agege. #Lagos #rain,neutral,serious downpour morning around agege lagos rain
house don flood for Ikorodu o. This Lagos flood no be small thing.,negative,house already flood ikorodu lagos flood serious
My street is completely flooded in Surulere. #LagosFlood #flood,negative,street completely flooded surulere lagosflood flood
we need help abeg for Yaba o. This Lagos flood no be small thing.,negative,need help please yaba lagos flood serious
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
Government just sent trucks to Ajah. Thank God things are improving. 🙏,positive,government sent truck ajah thank god thing improving
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Flood reported in parts of Yaba. #Lagos #rain,neutral,flood reported part yaba lagos rain
no motor fit pass for Iyana Ipaja o. This Lagos flood no be small thing.,negative,motor fit pas iyana ipaja lagos flood serious
This flood is getting worse in Yaba. #LagosFlood #flood,negative,flood getting worse yaba lagosflood flood
LASEMA never show for Iyana Ipaja o. This Lagos flood no be small thing.,negative,lasema never show iyana ipaja lagos flood serious
water don full everywhere for Surulere o. This Lagos flood no be small thing.,negative,water already full everywhere surulere lagos flood serious
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
Traffic is slow because of water on the road in Ikorodu. #Lagos #rain,neutral,traffic slow water road ikorodu lagos rain
This flood is getting worse in Ikeja. #LagosFlood #flood,negative,flood getting worse ikeja lagosflood flood
Government just sent trucks to Agege. Thank God things are improving. 🙏,positive,government sent truck agege thank god thing improving
road don block finish for Surulere o. This Lagos flood no be small thing.,negative,road already block finish surulere lagos flood serious
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
Update: water level rising in Ajah. #Lagos #rain,neutral,update water level rising ajah lagos rain
NEMA where una dey for Yaba o. This Lagos flood no be small thing.,negative,nema yaba lagos flood serious
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
My street is completely flooded in Ajah. #LagosFlood #flood,negative,street completely flooded ajah lagosflood flood
LASEMA never show for Agege o. This Lagos flood no be small thing.,negative,lasema never show agege lagos flood serious
No rescue team yet in Agege. #LagosFlood #flood,negative,rescue team yet agege lagosflood flood
Water is going down gradually in Ajah. Thank God things are improving. 🙏,positive,water going gradually ajah thank god thing improving
LASEMA is finally on ground at Agege. Thank God things are improving. 🙏,positive,lasema finally ground agege thank god thing improving
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
Cars are stuck in the water in Ikorodu. #LagosFlood #flood,negative,car stuck water ikorodu lagosflood flood
Traffic is slow because of water on the road in Ikeja. #Lagos #rain,neutral,traffic slow water road ikeja lagos rain
Neighbours are helping each other at Surulere. Thank God things are improving. 🙏,positive,neighbour helping surulere thank god thing improving
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
no motor fit pass for Surulere o. This Lagos flood no be small thing.,negative,motor fit pas surulere lagos flood serious
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
Traffic is slow because of water on the road in Surulere. #Lagos #rain,neutral,traffic slow water road surulere lagos rain
My street is completely flooded in Surulere. #LagosFlood #flood,negative,street completely flooded surulere lagosflood flood
It rained heavily in Iyana Ipaja. #Lagos #rain,neutral,rained heavily iyana ipaja lagos rain
no motor fit pass for Surulere o. This Lagos flood no be small thing.,negative,motor fit pas surulere lagos flood serious
Water is going down gradually in Yaba. Thank God things are improving. 🙏,positive,water going gradually yaba thank god thing improving
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
No rescue team yet in Yaba. #LagosFlood #flood,negative,rescue team yet yaba lagosflood flood
Neighbours are helping each other at Agege. Thank God things are improving. 🙏,positive,neighbour helping agege thank god thing improving
Rescue teams just arrived at Lekki. Thank God things are improving. 🙏,positive,rescue team arrived lekki thank god thing improving
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
LASEMA is finally on ground at Ajah. Thank God things are improving. 🙏,positive,lasema finally ground ajah thank god thing improving
we need help abeg for Yaba o. This Lagos flood no be small thing.,negative,need help please yaba lagos flood serious
Cars are stuck in the water in Surulere. #LagosFlood #flood,negative,car stuck water surulere lagosflood flood
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
My street is completely flooded in Lekki. #LagosFlood #flood,negative,street completely flooded lekki lagosflood flood
Serious downpour this morning around Surulere. #Lagos #rain,neutral,serious downpour morning around surulere lagos rain
Traffic is slow because of water on the road in Ajah. #Lagos #rain,neutral,traffic slow water road ajah lagos rain
LASEMA never show for Yaba o. This Lagos flood no be small thing.,negative,lasema never show yaba lagos flood serious
I dey stranded for for Iyana Ipaja o. This Lagos flood no be small thing.,negative,stranded iyana ipaja lagos flood serious
People are trapped in their houses in Surulere. #LagosFlood #flood,negative,people trapped house surulere lagosflood flood
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
Update: water level rising in Surulere. #Lagos #rain,neutral,update water level rising surulere lagos rain
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
People are trapped in their houses in Ikeja. #LagosFlood #flood,negative,people trapped house ikeja lagosflood flood
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
The drainage has totally failed in Ikorodu. #LagosFlood #flood,negative,drainage totally failed ikorodu lagosflood flood
This flood is getting worse in Victoria Island. #LagosFlood #flood,negative,flood getting worse victoria island lagosflood flood
The drainage has totally failed in Agege. #LagosFlood #flood,negative,drainage totally failed agege lagosflood flood
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
LASEMA is finally on ground at Ikeja. Thank God things are improving. 🙏,positive,lasema finally ground ikeja thank god thing improving
LASEMA never show for Yaba o. This Lagos flood no be small thing.,negative,lasema never show yaba lagos flood serious
Water is going down gradually in Lekki. Thank God things are improving. 🙏,positive,water going gradually lekki thank god thing improving
Traffic is slow because of water on the road in Ikorodu. #Lagos #rain,neutral,traffic slow water road ikorodu lagos rain
The drainage has totally failed in Agege. #LagosFlood #flood,negative,drainage totally failed agege lagosflood flood
My street is completely flooded in Ikeja. #LagosFlood #flood,negative,street completely flooded ikeja lagosflood flood
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
LASEMA is finally on ground at Iyana Ipaja. Thank God things are improving. 🙏,positive,lasema finally ground iyana ipaja thank god thing improving
no motor fit pass for Iyana Ipaja o. This Lagos flood no be small thing.,negative,motor fit pas iyana ipaja lagos flood serious
Rescue teams just arrived at Ajah. Thank God things are improving. 🙏,positive,rescue team arrived ajah thank god thing improving
Update: water level rising in Lekki. #Lagos #rain,neutral,update water level rising lekki lagos rain
Rescue teams just arrived at Lekki. Thank God things are improving. 🙏,positive,rescue team arrived lekki thank god thing improving
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
Update: water level rising in Agege. #Lagos #rain,neutral,update water level rising agege lagos rain
I dey stranded for for Iyana Ipaja o. This Lagos flood no be small thing.,negative,stranded iyana ipaja lagos flood serious
It rained heavily in Ikeja. #Lagos #rain,neutral,rained heavily ikeja lagos rain
NEMA where una dey for Lekki o. This Lagos flood no be small thing.,negative,nema lekki lagos flood serious
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
The drainage has totally failed in Lekki. #LagosFlood #flood,negative,drainage totally failed lekki lagosflood flood
I dey stranded for for Agege o. This Lagos flood no be small thing.,negative,stranded agege lagos flood serious
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
no motor fit pass for Surulere o. This Lagos flood no be small thing.,negative,motor fit pas surulere lagos flood serious
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
LASEMA is finally on ground at Ajah. Thank God things are improving. 🙏,positive,lasema finally ground ajah thank god thing improving
This flood is getting worse in Surulere. #LagosFlood #flood,negative,flood getting worse surulere lagosflood flood
Flood reported in parts of Surulere. #Lagos #rain,neutral,flood reported part surulere lagos rain
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
LASEMA never show for Yaba o. This Lagos flood no be small thing.,negative,lasema never show yaba lagos flood serious
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
I dey stranded for for Agege o. This Lagos flood no be small thing.,negative,stranded agege lagos flood serious
Neighbours are helping each other at Surulere. Thank God things are improving. 🙏,positive,neighbour helping surulere thank god thing improving
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
My street is completely flooded in Lekki. #LagosFlood #flood,negative,street completely flooded lekki lagosflood flood
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
Rescue teams just arrived at Victoria Island. Thank God things are improving. 🙏,positive,rescue team arrived victoria island thank god thing improving
Water is going down gradually in Iyana Ipaja. Thank God things are improving. 🙏,positive,water going gradually iyana ipaja thank god thing improving
Cars are stuck in the water in Agege. #LagosFlood #flood,negative,car stuck water agege lagosflood flood
Neighbours are helping each other at Ajah. Thank God things are improving. 🙏,positive,neighbour helping ajah thank god thing improving
No rescue team yet in Agege. #LagosFlood #flood,negative,rescue team yet agege lagosflood flood
No rescue team yet in Surulere. #LagosFlood #flood,negative,rescue team yet surulere lagosflood flood
road don block finish for Ajah o. This Lagos flood no be small thing.,negative,road already block finish ajah lagos flood serious
Traffic is slow because of water on the road in Ajah. #Lagos #rain,neutral,traffic slow water road ajah lagos rain
we need help abeg for Victoria Island o. This Lagos flood no be small thing.,negative,need help please victoria island lagos flood serious
Flood reported in parts of Lekki. #Lagos #rain,neutral,flood reported part lekki lagos rain
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
road don block finish for Ikorodu o. This Lagos flood no be small thing.,negative,road already block finish ikorodu lagos flood serious
Flood reported in parts of Ajah. #Lagos #rain,neutral,flood reported part ajah lagos rain
Government just sent trucks to Iyana Ipaja. Thank God things are improving. 🙏,positive,government sent truck iyana ipaja thank god thing improving
No rescue team yet in Ajah. #LagosFlood #flood,negative,rescue team yet ajah lagosflood flood
Rescue teams just arrived at Lekki. Thank God things are improving. 🙏,positive,rescue team arrived lekki thank god thing improving
I dey stranded for for Yaba o. This Lagos flood no be small thing.,negative,stranded yaba lagos flood serious
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
The drainage has totally failed in Yaba. #LagosFlood #flood,negative,drainage totally failed yaba lagosflood flood
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
Government just sent trucks to Agege. Thank God things are improving. 🙏,positive,government sent truck agege thank god thing improving
It rained heavily in Ikeja. #Lagos #rain,neutral,rained heavily ikeja lagos rain
LASEMA never show for Agege o. This Lagos flood no be small thing.,negative,lasema never show agege lagos flood serious
No rescue team yet in Lekki. #LagosFlood #flood,negative,rescue team yet lekki lagosflood flood
My street is completely flooded in Yaba. #LagosFlood #flood,negative,street completely flooded yaba lagosflood flood
LASEMA is finally on ground at Victoria Island. Thank God things are improving. 🙏,positive,lasema finally ground victoria island thank god thing improving
